84 25 47 57 28 80 51 23 44 59 56 83 31 61 49 18 88 76 66 1 85 36 71 19 30 58 77 72 39 9 7 65 86 42 41 12 6 75 27 43 11 17 53 73 70 16 38 26 10 13 32 20 40 24 37 91 0 5 81 90 52 62 34 4 78 29 55 14 67 45 33 69 60 35 82 22 68 50 64 74 8 92 21 79 3 89 87 54 48 15 2 46 63 
17 52 56 18 13 49 32 80 50 33 91 83 31 23 38 6 88 3 66 1 85 36 71 19 30 57 77 72 27 9 7 65 86 42 41 78 8 20 51 76 11 16 53 74 37 0 5 84 2 87 75 82 10 12 22 43 61 24 69 26 21 62 34 4 39 29 55 14 67 45 59 81 60 35 58 40 68 44 64 28 70 92 73 79 25 89 90 54 48 15 47 46 63 
37 57 1 41 27 60 51 78 44 59 56 47 83 80 90 49 13 40 21 6 12 30 28 74 38 17 88 35 71 10 53 70 14 36 22 39 65 75 87 25 18 52 77 9 19 45 32 31 76 84 58 82 15 62 43 16 73 46 34 26 20 0 67 8 72 23 29 91 86 66 33 61 4 11 42 55 68 50 64 24 69 92 85 79 7 89 81 54 48 3 2 5 63 
22 4 68 84 59 62 61 79 52 57 77 53 76 90 28 20 47 83 41 78 87 8 58 91 15 43 65 92 71 12 75 44 55 7 56 30 37 26 35 21 0 63 49 1 80 16 70 88 14 5 60 42 54 34 31 46 19 40 25 50 48 45 9 86 85 17 27 81 67 2 11 64 51 69 29 13 89 36 66 23 73 33 32 10 72 82 39 3 38 74 24 18 6 
22 4 68 71 59 62 61 87 52 57 90 30 11 20 23 7 65 72 10 14 79 39 54 28 51 43 42 25 69 37 46 0 36 88 1 21 48 85 24 53 8 27 58 33 56 16 84 91 44 40 19 77 78 34 31 75 12 5 92 50 60 45 9 86 26 17 63 81 67 2 76 64 6 70 29 13 89 55 66 47 73 80 32 41 83 82 18 3 15 38 74 35 49 
13 36 11 18 2 76 31 15 23 43 68 10 29 89 19 25 39 85 41 17 72 66 59 33 8 86 88 92 70 60 75 44 55 7 56 30 37 26 35 21 0 63 49 1 80 16 71 47 78 5 12 20 54 34 38 4 45 62 6 64 74 28 14 22 84 53 24 50 46 73 65 3 69 61 79 32 58 81 42 90 83 91 57 77 40 51 82 52 67 9 27 87 48 
19 34 5 65 68 28 16 45 3 57 20 48 92 85 84 88 2 79 72 69 32 14 59 4 25 70 76 35 24 31 66 12 75 49 60 62 30 44 64 27 43 23 63 37 15 42 52 74 87 33 55 26 91 77 22 18 41 71 40 46 50 0 8 6 78 11 86 13 89 38 51 73 90 53 7 17 56 58 54 21 80 36 47 10 83 82 39 61 29 67 81 1 9 
14 74 67 92 88 25 22 64 39 59 43 51 83 60 34 49 44 16 21 1 85 38 71 19 30 57 77 72 27 9 7 65 86 42 41 78 8 79 87 76 11 10 80 73 28 84 75 70 47 12 26 58 40 24 37 91 0 45 15 4 20 69 82 90 50 2 32 17 68 62 33 55 53 48 5 61 56 13 23 81 6 18 52 66 29 89 36 54 35 3 31 46 63 
2 0 90 41 27 60 47 78 44 59 56 83 31 23 42 1 7 3 66 6 12 30 28 74 38 17 88 92 84 29 21 86 81 89 40 76 68 13 64 35 43 77 63 37 24 34 52 51 87 70 55 26 91 53 22 18 65 69 36 58 15 50 79 48 62 8 32 54 45 39 72 9 20 61 75 46 82 11 57 4 19 16 33 73 25 71 5 80 14 85 49 10 67 
67 24 89 90 47 69 83 51 28 63 58 88 10 0 86 52 62 44 70 76 79 15 12 84 64 21 39 68 80 71 5 85 27 60 34 13 18 11 43 82 81 35 4 38 7 57 66 31 6 73 25 42 26 49 92 16 36 87 91 19 55 29 46 17 2 8 32 54 45 30 72 9 20 61 53 41 40 65 74 14 23 37 78 56 50 75 1 22 3 48 77 59 33 
18 85 44 63 59 55 36 45 15 1 14 83 61 10 35 65 28 87 79 37 90 74 72 70 23 66 32 71 4 16 43 91 54 24 64 52 51 81 60 34 9 77 92 2 42 0 62 80 13 67 86 19 11 26 68 53 3 56 48 8 84 29 75 46 33 47 6 22 82 76 69 40 21 17 31 12 25 39 27 58 20 38 5 7 30 41 57 50 78 89 49 88 73 
27 89 55 39 13 86 9 18 29 63 75 17 56 65 11 58 52 1 37 84 23 14 59 41 35 70 19 25 87 68 46 0 71 88 31 66 30 44 92 61 47 51 49 20 5 76 85 60 81 2 28 77 26 34 38 4 45 62 6 57 74 8 21 79 43 69 90 82 91 33 78 64 72 54 12 36 16 40 53 22 48 80 7 24 32 42 50 67 83 3 73 10 15 
2 69 27 80 50 56 48 91 89 81 82 13 11 77 23 40 15 72 10 45 79 39 51 28 8 49 7 92 71 12 75 44 55 65 64 30 1 26 35 21 63 17 43 37 59 42 52 74 87 5 60 16 54 34 78 83 73 76 4 31 29 90 47 36 32 41 25 19 53 86 85 68 67 84 58 46 24 20 57 22 61 70 33 0 62 88 9 18 6 3 14 66 38 
42 83 53 4 23 81 25 70 36 24 91 44 61 54 30 40 89 32 51 16 88 17 68 35 31 14 8 22 2 76 33 45 29 21 1 79 59 55 26 74 18 41 77 46 19 0 5 84 50 3 69 49 66 72 52 9 11 67 60 7 15 34 62 87 38 28 58 57 92 64 27 12 82 10 56 47 75 13 71 43 85 63 80 65 6 90 39 73 48 78 37 20 86 
80 40 23 18 11 71 88 89 42 36 22 85 16 84 66 17 62 31 26 33 27 35 76 81 38 19 51 3 2 79 68 21 9 0 6 24 58 83 34 32 54 55 53 44 29 90 12 7 45 5 74 82 10 30 78 92 20 65 75 14 59 39 47 60 50 48 25 77 70 43 63 91 67 37 73 46 56 15 57 86 61 52 4 41 49 28 69 87 72 64 8 1 13 
75 34 60 24 32 14 13 68 26 48 2 52 43 49 44 31 12 76 4 51 74 90 42 33 11 22 9 63 70 57 3 5 35 21 45 25 0 40 92 30 59 7 73 54 83 58 72 88 62 19 80 6 87 16 78 64 65 86 39 47 50 1 81 55 56 41 37 46 53 8 10 28 66 91 79 71 85 61 29 17 84 36 23 20 27 77 89 18 82 15 69 67 38 
57 16 56 11 7 1 32 23 50 33 91 47 83 80 90 49 76 15 21 6 12 30 28 74 38 17 88 35 71 10 53 70 14 36 22 39 65 75 87 25 18 52 77 9 19 0 46 84 31 51 20 82 37 85 41 43 61 24 69 26 66 62 34 4 78 29 55 86 67 45 59 42 60 72 58 3 68 44 64 27 8 92 73 79 13 89 81 54 48 40 2 5 63 
22 4 68 84 59 62 61 79 52 57 77 53 76 90 28 20 37 83 41 78 87 18 6 91 15 43 65 92 71 12 75 44 55 7 56 30 47 86 14 21 0 63 49 1 80 16 70 88 35 5 60 42 54 34 31 46 19 40 25 50 48 45 9 26 85 17 27 81 67 2 11 64 51 69 29 13 89 36 66 23 73 33 32 10 72 82 39 3 38 74 24 8 58 
86 57 1 29 69 25 84 14 13 49 59 20 41 2 55 90 34 66 71 51 9 81 76 70 89 27 3 5 15 8 62 85 58 92 44 0 37 26 35 83 46 4 30 39 74 75 77 79 38 31 45 63 11 43 68 56 67 87 19 65 21 28 73 23 10 60 47 82 91 33 78 64 72 54 12 36 16 40 53 22 48 80 7 24 32 42 50 17 61 88 52 18 6 
27 26 55 82 53 33 9 18 28 57 4 48 92 85 84 88 2 79 72 39 32 14 59 5 25 70 76 35 24 31 66 12 75 49 60 62 30 44 22 90 78 51 0 69 74 36 77 1 38 37 45 63 11 43 68 56 67 87 19 65 21 91 83 64 23 8 61 86 13 54 89 3 40 58 7 17 73 34 46 6 71 42 50 47 20 52 41 29 81 80 16 10 15 
57 70 66 46 84 61 43 83 5 64 37 62 88 49 44 31 72 76 4 51 80 90 42 33 7 22 9 87 53 77 50 18 30 15 65 20 40 23 13 68 63 17 73 35 27 78 16 47 67 69 81 28 59 25 11 29 0 24 79 38 91 41 82 52 58 60 71 2 89 6 10 8 56 75 86 19 32 21 48 36 55 74 14 1 85 26 39 45 12 54 92 3 34 
27 57 23 18 38 77 60 89 20 52 14 59 11 43 35 67 50 45 24 44 66 8 85 48 30 0 90 41 51 29 3 19 53 21 62 28 22 40 64 16 42 88 79 54 83 58 12 7 76 5 74 82 68 32 78 34 65 86 39 47 72 1 81 55 56 87 37 46 2 9 10 4 80 91 70 71 31 61 73 17 84 36 26 33 15 25 69 63 6 92 49 75 13 
81 35 14 74 34 60 51 64 44 59 67 83 31 22 49 63 88 3 66 1 85 36 71 19 30 21 77 72 54 9 7 65 86 42 41 78 8 79 87 76 11 10 80 73 28 84 75 70 47 12 26 58 40 24 37 91 0 45 15 4 20 69 82 90 50 2 32 17 68 62 33 55 53 48 5 61 56 13 23 46 6 18 52 29 43 27 89 39 25 57 38 16 92 
17 52 56 18 88 6 5 23 50 33 91 87 83 80 90 49 13 40 21 9 85 38 71 19 30 57 77 72 27 1 7 65 86 42 41 78 8 20 51 76 11 16 53 74 37 45 32 47 25 84 58 82 10 12 22 43 61 24 69 26 66 62 34 4 39 29 55 14 67 0 59 81 60 35 75 3 68 44 64 28 70 92 73 79 2 89 36 54 48 15 31 46 63 
67 4 68 84 59 75 61 79 52 57 77 88 10 54 86 28 62 44 70 76 51 15 12 90 64 21 39 89 80 71 5 85 27 60 9 13 18 11 43 82 45 35 24 38 7 63 66 31 6 73 25 42 30 49 92 16 83 87 91 19 55 20 46 17 2 8 78 0 81 26 14 34 29 36 53 41 40 65 74 72 23 37 32 56 50 69 1 22 3 48 58 47 33 
90 25 47 57 28 80 27 23 44 59 56 83 31 17 49 18 88 91 66 1 85 36 71 19 30 58 77 72 38 9 7 65 86 42 41 78 8 20 51 76 11 16 53 74 37 0 5 84 2 87 75 82 10 12 22 43 61 24 69 26 21 62 34 4 39 29 55 14 67 45 33 81 60 35 32 70 68 50 64 73 6 92 52 79 3 89 13 54 48 15 40 46 63 
61 21 56 18 87 49 82 80 50 33 76 83 31 23 39 8 88 3 66 1 85 36 71 19 30 57 77 72 51 9 7 65 86 42 41 12 6 75 27 43 11 17 53 73 70 16 38 26 10 13 32 20 40 24 37 91 0 5 81 90 52 62 34 4 78 29 55 14 67 45 59 69 60 35 58 2 68 44 64 28 22 92 74 79 25 89 84 54 48 15 47 46 63 
22 51 89 84 59 62 66 79 52 57 77 53 76 90 28 20 47 83 41 78 87 8 58 91 15 43 65 92 71 12 75 44 13 7 56 30 37 21 35 26 0 63 49 1 80 16 70 88 14 5 60 29 54 34 31 46 19 40 25 36 48 45 9 86 85 17 27 81 67 2 69 61 4 11 42 55 68 50 64 23 73 33 32 10 72 82 39 3 38 74 24 18 6 
13 55 11 18 2 76 31 15 23 86 68 41 29 89 19 7 65 72 10 14 79 39 54 28 51 43 42 25 69 37 46 0 36 88 1 21 48 85 6 53 8 27 58 33 56 16 84 47 78 5 12 20 59 34 38 4 45 62 24 64 74 80 17 22 71 30 35 50 75 73 66 3 70 61 26 32 49 81 92 90 83 91 57 77 40 44 82 52 67 9 63 87 60 
20 57 67 92 88 82 58 47 39 45 2 65 83 69 34 84 79 16 21 1 32 14 59 4 25 70 76 35 24 31 66 12 75 49 60 62 30 44 64 27 43 23 63 37 15 42 52 74 87 33 55 26 91 77 22 18 41 71 40 46 50 0 8 6 78 11 86 13 89 38 51 73 90 53 7 17 56 61 10 81 48 28 85 5 29 68 36 54 72 3 9 19 80 
